Id,t[ms],x[um],y[um],z[um],fx[nN],fy[nN],fz[nN]
28491,0.000000,0.673112,175.995525,1.232776,0.000000,0.000000,0.000000
28491,20.000500,7.324851,175.976986,1.232761,0.000119,-0.000001,-0.000029
28491,40.000000,9.161565,175.966459,1.232683,0.000311,-0.000002,-0.000186
28491,60.000000,10.443717,175.957718,1.232638,0.000377,-0.000003,-0.000275
28491,80.000000,11.472672,175.949874,1.232605,0.000362,-0.000005,-0.000341
28491,100.000000,12.346178,175.942636,1.232597,0.000336,-0.000004,-0.000357
28491,120.000000,13.111128,175.935863,1.233042,-0.001196,0.000015,0.000532
28491,140.000000,13.797355,175.929437,1.232586,0.000320,-0.000004,-0.000379
28491,160.000500,14.420982,175.923314,1.232594,0.000343,-0.000004,-0.000364
28491,180.000500,14.995263,175.917436,1.232636,0.000174,-0.000002,-0.000279
28491,200.000500,15.528560,175.911771,1.232591,0.000314,-0.000005,-0.000369
28491,220.000500,16.027204,175.906296,1.232587,0.000354,-0.000006,-0.000378
28491,240.000500,16.496698,175.900981,1.232612,0.000310,-0.000004,-0.000328
28491,260.000500,16.940176,175.895821,1.232603,0.000326,-0.000006,-0.000347
28491,280.000500,17.361008,175.890797,1.232654,0.000158,-0.000002,-0.000244
28491,300.000500,17.761091,175.885907,1.232603,0.000345,-0.000006,-0.000345
28491,320.000500,18.142725,175.881138,1.232611,0.000366,-0.000006,-0.000329
28491,340.000500,18.507999,175.876479,1.232610,0.000389,-0.000006,-0.000332
28491,360.000500,18.858817,175.871916,1.232609,0.000369,-0.000006,-0.000334
28491,380.000500,19.195697,175.867457,1.233012,-0.001355,0.000025,0.000473
28491,400.000500,19.521541,175.863064,1.232756,-0.000263,0.000005,-0.000040
28491,420.000500,19.835836,175.858758,1.232794,-0.000426,0.000009,0.000036
28491,440.000500,20.140061,175.854524,1.232611,0.000421,-0.000007,-0.000330
28491,460.000500,20.434670,175.850365,1.232860,-0.000715,0.000014,0.000169
28491,480.000500,20.721053,175.846260,1.232611,0.000379,-0.000007,-0.000329
28491,500.000500,20.998856,175.842226,1.232669,0.000118,-0.000002,-0.000213
28491,520.000500,21.268960,175.838251,1.232610,0.000401,-0.000007,-0.000331
28491,540.000500,21.531969,175.834332,1.232601,0.000401,-0.000008,-0.000349
28491,560.000500,21.787549,175.830481,1.233019,-0.001437,0.000029,0.000487
28491,580.000500,22.037615,175.826663,1.232593,0.000455,-0.000011,-0.000365
28491,600.000500,22.281482,175.822899,1.232605,0.000389,-0.000008,-0.000341
28491,620.000500,22.518999,175.819195,1.232615,0.000429,-0.000008,-0.000322
28491,640.000500,22.750722,175.815545,1.233005,-0.001388,0.000029,0.000457
28491,660.000500,22.977959,175.811924,1.232616,0.000412,-0.000008,-0.000319
28491,680.000500,23.199498,175.808362,1.232617,0.000420,-0.000008,-0.000317
28491,700.000500,23.415974,175.804850,1.232802,-0.000489,0.000011,0.000053
28491,720.000500,23.627562,175.801384,1.232594,0.000483,-0.000012,-0.000363
28491,740.000500,23.834725,175.797959,1.232600,0.000459,-0.000011,-0.000352
28491,760.000500,24.037047,175.794589,1.232910,-0.000980,0.000022,0.000268
28491,780.000500,24.235256,175.791255,1.232599,0.000475,-0.000012,-0.000354
28491,800.000500,24.429353,175.787965,1.232621,0.000398,-0.000008,-0.000310
28491,820.000500,24.618675,175.784732,1.232599,0.000472,-0.000012,-0.000353
28491,840.000500,24.804554,175.781532,1.232677,0.000115,-0.000002,-0.000198
28491,860.000500,24.986009,175.778386,1.232607,0.000434,-0.000011,-0.000338
28491,880.000500,25.163796,175.775281,1.232622,0.000422,-0.000009,-0.000307
28491,900.000500,25.337696,175.772223,1.232622,0.000444,-0.000010,-0.000307
28491,920.000500,25.508288,175.769201,1.232623,0.000393,-0.000008,-0.000306
28491,940.000500,25.675199,175.766226,1.232619,0.000385,-0.000009,-0.000314
28491,960.000500,25.838615,175.763293,1.232625,0.000365,-0.000008,-0.000302
28491,980.000500,25.998363,175.760411,1.232771,-0.000335,0.000008,-0.000010
28491,1000.000500,26.154845,175.757570,1.232925,-0.001071,0.000026,0.000298
28491,1020.000500,26.308655,175.754759,1.232833,-0.000639,0.000015,0.000115
28491,1040.000500,26.459489,175.751984,1.232627,0.000391,-0.000009,-0.000298
28491,1060.000500,26.606750,175.749265,1.232864,-0.000793,0.000019,0.000176
28491,1080.000500,26.751759,175.746568,1.232629,0.000396,-0.000009,-0.000294
28491,1100.000500,26.893500,175.743920,1.232796,-0.000449,0.000011,0.000040
28491,1120.000500,27.033019,175.741298,1.232631,0.000363,-0.000008,-0.000289
28491,1140.000000,27.169203,175.738729,1.232829,-0.000610,0.000015,0.000107
28491,1160.000000,27.303568,175.736177,1.232625,0.000370,-0.000009,-0.000302
28491,1180.000000,27.434879,175.733674,1.232631,0.000416,-0.000010,-0.000290
28491,1200.000000,27.564177,175.731197,1.232633,0.000387,-0.000009,-0.000286
28491,1220.000000,27.690679,175.728764,1.232867,-0.000805,0.000020,0.000183
28491,1240.000000,27.815360,175.726352,1.232616,0.000437,-0.000012,-0.000320
28491,1260.000000,27.937751,175.723974,1.232617,0.000430,-0.000012,-0.000318
28491,1280.000000,28.058274,175.721622,1.232635,0.000359,-0.000008,-0.000282
28491,1300.000000,28.176283,175.719311,1.232622,0.000401,-0.000011,-0.000307
28491,1320.000000,28.292381,175.717027,1.232634,0.000402,-0.000010,-0.000283
28491,1340.000000,28.406179,175.714782,1.232970,-0.001323,0.000034,0.000388
28491,1360.000000,28.518942,175.712543,1.232635,0.000386,-0.000009,-0.000281
28491,1380.000000,28.628924,175.710356,1.232957,-0.001252,0.000032,0.000362
28491,1400.000000,28.737794,175.708179,1.232833,-0.000640,0.000017,0.000115
28491,1420.000000,28.844750,175.706032,1.232636,0.000402,-0.000010,-0.000280
28491,1440.000000,28.950074,175.703911,1.232689,0.000075,-0.000001,-0.000173
28491,1460.000000,29.053545,175.701819,1.232629,0.000356,-0.000009,-0.000293
28491,1480.000000,29.155160,175.699759,1.232636,0.000394,-0.000010,-0.000279
28491,1500.000000,29.255236,175.697723,1.232617,0.000437,-0.000013,-0.000317
28491,1520.000000,29.353824,175.695711,1.232888,-0.000915,0.000024,0.000225
28491,1540.000000,29.451481,175.693707,1.232634,0.000327,-0.000008,-0.000283
28491,1560.000000,29.547081,175.691742,1.232633,0.000340,-0.000009,-0.000287
28491,1580.000000,29.641333,175.689799,1.232635,0.000328,-0.000008,-0.000283
28491,1600.000000,29.733714,175.687890,1.232840,-0.000673,0.000018,0.000129
28491,1620.000000,29.825507,175.685982,1.232639,0.000331,-0.000008,-0.000274
28491,1640.000000,29.915394,175.684112,1.232638,0.000369,-0.000009,-0.000275
28491,1660.000000,30.004086,175.682261,1.232785,-0.000406,0.000011,0.000018
28491,1680.000000,30.091601,175.680428,1.232777,-0.000372,0.000010,0.000002
