Id,t[ms],x[um],y[um],z[um],fx[nN],fy[nN],fz[nN]
5888,0.000000,-1.796802,87.963227,-2.464846,0.000000,0.000000,0.000000
5888,20.000500,6.295616,87.937849,-2.465075,0.000144,-0.000001,-0.000458
5888,40.000000,8.492581,87.915233,-2.465040,0.000086,-0.000001,-0.000388
5888,60.000000,9.958473,87.896400,-2.465024,0.000063,-0.000001,-0.000357
5888,80.000000,11.058261,87.880301,-2.465012,0.000048,-0.000001,-0.000332
5888,100.000000,11.924232,87.866438,-2.464999,0.000039,-0.000001,-0.000306
5888,120.000000,12.624889,87.854454,-2.464978,0.000031,-0.000001,-0.000265
5888,140.000000,13.202729,87.844055,-2.464972,0.000031,-0.000001,-0.000252
5888,160.000500,13.686478,87.834991,-2.464958,0.000024,-0.000001,-0.000225
5888,180.000500,14.096873,87.827044,-2.464945,0.000019,-0.000000,-0.000199
5888,200.000500,14.449615,87.820026,-2.464933,0.000016,-0.000000,-0.000175
5888,220.000500,14.756862,87.813771,-2.464922,0.000014,-0.000000,-0.000153
5888,240.000500,15.027971,87.808142,-2.464912,0.000013,-0.000000,-0.000133
5888,260.000500,15.270174,87.803027,-2.464903,0.000011,-0.000000,-0.000114
5888,280.000500,15.489077,87.798333,-2.464894,0.000010,-0.000000,-0.000097
5888,300.000500,15.689039,87.793986,-2.464886,0.000010,-0.000000,-0.000081
5888,320.000500,15.873465,87.789927,-2.464879,0.000009,-0.000000,-0.000067
5888,340.000500,16.045027,87.786109,-2.464872,0.000008,-0.000000,-0.000053
5888,360.000500,16.205829,87.782493,-2.464866,0.000008,-0.000000,-0.000041
5888,380.000500,16.357536,87.779048,-2.464860,0.000007,-0.000000,-0.000029
5888,400.000500,16.501480,87.775750,-2.464855,0.000007,-0.000000,-0.000019
5888,420.000500,16.638724,87.772578,-2.464850,0.000007,-0.000000,-0.000009
5888,440.000500,16.770133,87.769516,-2.464845,0.000006,-0.000000,0.000001
5888,460.000500,16.896410,87.766551,-2.464841,0.000006,-0.000000,0.000009
5888,480.000500,17.018133,87.763672,-2.464837,0.000006,-0.000000,0.000017
5888,500.000500,17.135784,87.760869,-2.464833,0.000006,-0.000000,0.000025
5888,520.000500,17.249767,87.758136,-2.464830,0.000006,-0.000000,0.000032
5888,540.000500,17.360422,87.755464,-2.464827,0.000005,-0.000000,0.000038
5888,560.000500,17.468042,87.752850,-2.464824,0.000005,-0.000000,0.000044
5888,580.000500,17.572877,87.750287,-2.464821,0.000005,-0.000000,0.000050
5888,600.000500,17.675144,87.747773,-2.464818,0.000005,-0.000000,0.000055
5888,620.000500,17.775035,87.745302,-2.464816,0.000005,-0.000000,0.000060
5888,640.000500,17.872717,87.742873,-2.464813,0.000005,-0.000000,0.000065
5888,660.000500,17.968338,87.740482,-2.464811,0.000005,-0.000000,0.000069
5888,680.000500,18.062029,87.738127,-2.464809,0.000005,-0.000000,0.000073
5888,700.000500,18.153910,87.735805,-2.464807,0.000005,-0.000000,0.000077
5888,720.000500,18.244086,87.733515,-2.464806,0.000004,-0.000000,0.000080
5888,740.000500,18.332653,87.731255,-2.464804,0.000004,-0.000000,0.000084
5888,760.000500,18.419697,87.729023,-2.464802,0.000004,-0.000000,0.000087
5888,780.000500,18.505299,87.726817,-2.464801,0.000004,-0.000000,0.000090
5888,800.000500,18.589529,87.724637,-2.464800,0.000004,-0.000000,0.000092
5888,820.000500,18.672453,87.722481,-2.464798,0.000004,-0.000000,0.000095
5888,840.000500,18.754133,87.720348,-2.464797,0.000004,-0.000000,0.000097
5888,860.000500,18.834623,87.718236,-2.464796,0.000004,-0.000000,0.000099
5888,880.000500,18.913976,87.716146,-2.464795,0.000004,-0.000000,0.000101
