Id,t[ms],x[um],y[um],z[um],fx[nN],fy[nN],fz[nN]
21883,0.000000,-2.849551,131.982166,-1.927133,0.000000,0.000000,0.000000
21883,20.000500,4.063164,131.978251,-1.927050,0.000121,-0.000000,0.000166
21883,40.000000,5.914427,131.969686,-1.927038,0.000074,-0.000000,0.000191
21883,60.000000,7.187835,131.961948,-1.927034,0.000056,-0.000000,0.000199
21883,80.000000,8.186323,131.954829,-1.927026,0.000208,-0.000007,0.000213
21883,100.000000,9.027007,131.948115,-1.927042,0.000048,0.000001,0.000182
21883,120.000000,9.760239,131.941724,-1.927048,0.000199,-0.000005,0.000171
21883,140.000000,10.414714,131.935598,-1.927055,0.000199,-0.000005,0.000155
21883,160.000500,11.008265,131.929697,-1.927061,0.000206,-0.000005,0.000143
21883,180.000500,11.552882,131.923996,-1.927066,0.000208,-0.000005,0.000134
21883,200.000500,12.056944,131.918474,-1.927070,0.000217,-0.000005,0.000126
21883,220.000500,12.526744,131.913114,-1.927074,0.000196,-0.000004,0.000119
21883,240.000500,12.966788,131.907908,-1.927077,0.000194,-0.000005,0.000113
21883,260.000500,13.380499,131.902853,-1.927076,-0.000329,0.000012,0.000115
21883,280.000500,13.771255,131.897926,-1.927080,0.000222,-0.000006,0.000106
21883,300.000500,14.140914,131.893139,-1.927081,-0.000067,0.000003,0.000104
21883,320.000500,14.491519,131.888478,-1.927084,0.000217,-0.000007,0.000098
21883,340.000500,14.824625,131.883945,-1.927086,0.000203,-0.000005,0.000095
21883,360.000500,15.141454,131.879538,-1.927086,0.000226,-0.000006,0.000093
21883,380.000500,15.443322,131.875256,-1.927086,-0.000346,0.000013,0.000093
21883,400.000500,15.731401,131.871087,-1.927088,-0.000373,0.000014,0.000091
21883,420.000500,16.006787,131.867026,-1.927090,0.000200,-0.000006,0.000085
21883,440.000500,16.269899,131.863085,-1.927091,-0.000061,0.000004,0.000084
21883,460.000500,16.521904,131.859248,-1.927092,0.000208,-0.000007,0.000082
21883,480.000500,16.763362,131.855517,-1.927093,0.000228,-0.000010,0.000081
21883,500.000500,16.995081,131.851888,-1.927094,-0.000328,0.000012,0.000078
21883,520.000500,17.217755,131.848350,-1.927095,-0.000263,0.000010,0.000076
21883,540.000500,17.431908,131.844902,-1.927095,0.000209,-0.000006,0.000076
21883,560.000500,17.637841,131.841553,-1.927097,-0.000472,0.000017,0.000072
21883,580.000500,17.836475,131.838280,-1.927098,-0.000229,0.000009,0.000071
21883,600.000500,18.028030,131.835087,-1.927098,0.000177,-0.000004,0.000071
21883,620.000500,18.212598,131.831983,-1.927097,0.000217,-0.000010,0.000072
21883,640.000500,18.391122,131.828947,-1.927099,0.000141,-0.000004,0.000068
21883,660.000500,18.563445,131.825989,-1.927099,0.000169,-0.000005,0.000067
21883,680.000500,18.729883,131.823109,-1.927099,0.000220,-0.000011,0.000069
21883,700.000500,18.891220,131.820288,-1.927100,0.000169,-0.000005,0.000066
21883,720.000500,19.047025,131.817547,-1.927104,-0.000412,0.000016,0.000059
21883,740.000500,19.198149,131.814862,-1.927103,-0.000231,0.000009,0.000059
21883,760.000500,19.344388,131.812246,-1.927105,-0.000492,0.000018,0.000055
21883,780.000500,19.486322,131.809685,-1.927105,-0.000312,0.000012,0.000056
21883,800.000500,19.623936,131.807184,-1.927101,0.000190,-0.000009,0.000063
21883,820.000500,19.757336,131.804747,-1.927107,-0.000470,0.000018,0.000052
21883,840.000500,19.887118,131.802353,-1.927103,0.000165,-0.000007,0.000061
21883,860.000500,20.012912,131.800025,-1.927108,-0.000335,0.000013,0.000051
21883,880.000500,20.135499,131.797736,-1.927104,0.000140,-0.000005,0.000058
21883,900.000500,20.254529,131.795503,-1.927104,0.000144,-0.000005,0.000058
21883,920.000500,20.370337,131.793319,-1.927107,-0.000054,0.000003,0.000053
21883,940.000500,20.483203,131.791176,-1.927105,0.000152,-0.000006,0.000057
21883,960.000500,20.593038,131.789084,-1.927111,-0.000381,0.000014,0.000045
21883,980.000500,20.700487,131.787019,-1.927106,0.000080,-0.000003,0.000053
21883,1000.000500,20.805129,131.785002,-1.927106,0.000150,-0.000005,0.000055
21883,1020.000500,20.907395,131.783020,-1.927106,0.000142,-0.000006,0.000054
21883,1040.000500,21.007363,131.781073,-1.927107,0.000130,-0.000003,0.000052
21883,1060.000500,21.105002,131.779164,-1.927106,0.000158,-0.000008,0.000053
21883,1080.000500,21.200613,131.777287,-1.927113,-0.000270,0.000011,0.000040
21883,1100.000500,21.294262,131.775439,-1.927115,-0.000383,0.000015,0.000037
21883,1120.000500,21.386172,131.773614,-1.927108,0.000161,-0.000008,0.000051
21883,1140.000000,21.476218,131.771823,-1.927114,-0.000228,0.000010,0.000038
21883,1160.000000,21.564615,131.770054,-1.927108,0.000160,-0.000008,0.000050
21883,1180.000000,21.651345,131.768315,-1.927117,-0.000381,0.000015,0.000032
21883,1200.000000,21.736712,131.766593,-1.927115,-0.000215,0.000009,0.000035
21883,1220.000000,21.820627,131.764893,-1.927110,0.000146,-0.000007,0.000046
21883,1240.000000,21.903204,131.763215,-1.927111,0.000126,-0.000005,0.000044
21883,1260.000000,21.984290,131.761565,-1.927118,-0.000275,0.000011,0.000030
21883,1280.000000,22.064397,131.759923,-1.927112,0.000133,-0.000004,0.000043
21883,1300.000000,22.143105,131.758309,-1.927120,-0.000324,0.000013,0.000025
21883,1320.000000,22.221006,131.756700,-1.927113,0.000119,-0.000004,0.000040
21883,1340.000000,22.297494,131.755121,-1.927122,-0.000346,0.000014,0.000022
21883,1360.000000,22.373318,131.753545,-1.927115,0.000054,-0.000001,0.000036
21883,1380.000000,22.447876,131.751995,-1.927123,-0.000309,0.000012,0.000020
21883,1400.000000,22.521727,131.750450,-1.927120,-0.000150,0.000007,0.000025
21883,1420.000000,22.594711,131.748919,-1.927115,0.000127,-0.000004,0.000036
21883,1440.000000,22.666651,131.747408,-1.927125,-0.000302,0.000012,0.000016
21883,1460.000000,22.737955,131.745902,-1.927115,0.000154,-0.000008,0.000036
