Id,t[ms],x[um],y[um],z[um],fx[nN],fy[nN],fz[nN]
5677,0.000000,-2.772573,87.960498,2.451448,0.000000,0.000000,0.000000
5677,20.000200,5.137169,87.947496,2.451214,-0.000453,0.000025,-0.001170
5677,40.000200,7.167460,87.930106,2.451251,-0.000571,0.000031,-0.000983
5677,60.000200,8.570073,87.914737,2.451260,-0.000557,0.000031,-0.000937
5677,80.000000,9.664048,87.900841,2.451159,0.000994,-0.000048,-0.001444
5677,100.000000,10.562202,87.888188,2.451172,0.000985,-0.000049,-0.001377
5677,120.000000,11.319833,87.876639,2.451186,0.000973,-0.000049,-0.001310
5677,140.000000,11.969867,87.866092,2.451198,0.000958,-0.000050,-0.001248
5677,160.000000,12.534508,87.856451,2.451209,0.000941,-0.000050,-0.001195
5677,180.000000,13.029783,87.847628,2.451218,0.000922,-0.000049,-0.001149
5677,200.000000,13.467661,87.839542,2.451226,0.000904,-0.000049,-0.001109
5677,220.000000,13.857357,87.832120,2.451233,0.000887,-0.000049,-0.001076
5677,240.000000,14.206150,87.825297,2.451239,0.000870,-0.000048,-0.001046
5677,260.000000,14.519919,87.819014,2.451244,0.000854,-0.000048,-0.001020
5677,280.000000,14.803568,87.813215,2.451248,0.000840,-0.000048,-0.000998
5677,300.000000,15.061262,87.807850,2.451252,0.000827,-0.000047,-0.000979
5677,320.000000,15.296566,87.802870,2.451255,0.000814,-0.000047,-0.000961
5677,340.000000,15.512550,87.798230,2.451259,0.000802,-0.000045,-0.000945
5677,360.000000,15.711827,87.793891,2.451261,0.000792,-0.000045,-0.000932
5677,380.000000,15.896655,87.789817,2.451264,0.000784,-0.000046,-0.000919
5677,400.000000,16.068958,87.785977,2.451266,0.000775,-0.000045,-0.000908
5677,420.000000,16.230360,87.782341,2.451268,0.000767,-0.000044,-0.000897
5677,440.000000,16.382234,87.778887,2.451270,0.000761,-0.000045,-0.000888
5677,460.000000,16.525775,87.775592,2.451272,0.000755,-0.000044,-0.000879
5677,480.000000,16.661973,87.772440,2.451274,0.000748,-0.000043,-0.000870
5677,500.000000,16.791667,87.769414,2.451275,0.000744,-0.000044,-0.000863
5677,520.000000,16.915598,87.766500,2.451277,0.000739,-0.000044,-0.000855
5677,540.000000,17.034374,87.763687,2.451278,0.000735,-0.000044,-0.000848
5677,560.000000,17.148535,87.760965,2.451279,0.000731,-0.000044,-0.000841
5677,580.000200,17.258436,87.758331,2.451352,-0.000478,0.000030,-0.000479
5677,600.000200,17.364661,87.755766,2.451355,-0.000517,0.000032,-0.000464
5677,620.000200,17.467471,87.753267,2.451352,-0.000459,0.000029,-0.000476
5677,640.000200,17.567148,87.750831,2.451353,-0.000451,0.000029,-0.000475
5677,660.000200,17.663955,87.748452,2.451355,-0.000473,0.000030,-0.000465
